mol_idx,edit_type,site_idx,n_depths_used,entropy_mean,entropy_std,entropy_range
1485,b,6,6,3.7401434183120728,0.31138194748442033,0.7593278884887695
1486,b,41,6,3.939737319946289,0.4203099293392268,1.080841302871704
1487,b,11,6,4.063816865285237,0.5256272297995596,1.2882845401763916
1488,b,11,6,3.59049661954244,0.3954745390907014,0.9430892467498779
1489,b,32,6,3.6762733459472656,0.2418504868795269,0.5555579662322998
1490,b,1,6,3.1699021657307944,0.365973695989684,0.9168844223022461
1491,b,30,6,3.747782031695048,0.5021413686511472,1.3407363891601562
1492,b,30,6,4.007680018742879,0.41707149541903554,0.9851381778717041
1493,b,60,6,4.491497119267781,0.3316438545901191,0.8191795349121094
1494,b,5,6,3.330138166745504,0.39312901573179243,0.928558349609375
1495,a,18,6,3.949574867884318,0.0712303298477989,0.20169305801391602
1496,b,20,6,4.154736916224162,0.29122655261578045,0.7190649509429932
1497,b,16,6,3.5218514601389566,0.37589080679414566,0.9157545566558838
1498,b,23,6,3.8564940690994263,0.27025994893513605,0.7201988697052002
1499,b,37,6,4.156486709912618,0.3949346050442885,1.0474090576171875
1500,b,29,6,3.7484816312789917,0.26206299250855214,0.7115542888641357
1501,b,13,6,4.215093612670898,0.4026308191645095,1.020200252532959
1502,b,9,6,3.891673525174459,0.4603428451599481,1.1402981281280518
1503,a,7,6,3.354436914126078,0.07801220259338305,0.2005445957183838
1504,b,6,6,3.9474560022354126,0.3845168003135082,1.0148026943206787
1505,b,7,6,3.9419744412104287,0.36511227206968244,0.9029617309570312
1506,b,69,6,4.435612916946411,0.4578258936234673,1.1300020217895508
1507,b,28,6,4.542050361633301,0.21427825603006248,0.5392746925354004
1508,b,12,6,3.966790199279785,0.4024305817046286,1.105248212814331
1509,b,7,6,3.8392667373021445,0.2368337544959311,0.6483778953552246
1510,b,15,6,3.8814745346705117,0.4084999231987944,0.9931273460388184
1511,b,30,6,4.085256020228068,0.25369065841318017,0.6878254413604736
1512,b,37,6,4.2786325216293335,0.4350010321993813,1.1547718048095703
1513,b,28,6,3.907836079597473,0.4175884651704088,1.1640708446502686
1514,b,45,6,4.171012242635091,0.37491766887214084,0.9833855628967285
1515,a,19,6,4.336597681045532,0.19375189760837858,0.45202159881591797
1516,b,22,6,3.8580902020136514,0.33064225569225486,0.7964456081390381
1517,b,17,6,4.2430678606033325,0.3189336431411358,0.8852064609527588
1518,b,16,6,4.107733130455017,0.4172449919800006,1.0776374340057373
1519,b,19,6,3.85776416460673,0.2575708582560391,0.6321802139282227
1520,b,15,6,3.4834522008895874,0.37812366913532436,0.9527907371520996
1521,a,10,6,3.55890425046285,0.17449584616434935,0.4391493797302246
1522,b,15,6,3.467726230621338,0.5254276765331217,1.372126817703247
1523,b,14,6,3.9959229628245034,0.5419474988033087,1.3657660484313965
1524,b,7,6,3.4654163916905723,0.34715380744333746,0.9119570255279541
1525,a,2,6,3.999249537785848,0.2925134843871637,0.7243478298187256
1526,b,4,6,4.5252625942230225,0.43219588535502784,1.0434455871582031
1527,a,2,6,3.37302037080129,0.3275671723973189,0.7715342044830322
1528,a,10,6,4.046870311101277,0.2474871987789446,0.5938856601715088
1529,a,31,6,4.422337452570598,0.24247289708188924,0.6113123893737793
1530,b,3,6,3.679234027862549,0.41256236363344156,1.039506435394287
1531,a,13,6,3.8523952960968018,0.20156413308422913,0.5006675720214844
1532,b,38,6,4.00508983929952,0.27652121391896506,0.6961064338684082
1533,b,11,6,3.6983181635538735,0.4452970411190243,1.1396534442901611
1534,b,30,6,3.993903954823812,0.47790489594546337,1.1785378456115723
1535,b,10,6,3.8805221716562905,0.6386679961557356,1.634601354598999
1536,b,23,6,4.472049752871196,0.41616299099495957,1.1547505855560303
1537,b,24,6,4.238984862963359,0.37998024088460486,0.9834859371185303
1538,b,30,6,4.1273980140686035,0.3462453796679897,1.0075242519378662
1539,b,10,6,3.1567878325780234,0.7401241803409405,1.7982070446014404
1540,a,15,6,4.0852382977803545,0.17057076653934242,0.4622623920440674
1541,b,1,6,3.6575011809666953,0.2729786946446807,0.6536111831665039
1542,a,9,6,3.4681668678919473,0.1705219408230909,0.44157958030700684
1543,b,20,6,3.923765699068705,0.6052176247939904,1.402831792831421
1544,b,55,6,4.269612232844035,0.332654313289404,0.8837838172912598
1545,b,5,6,3.752455393473307,0.3623746784930529,0.9663975238800049
1546,b,38,6,4.256429553031921,0.3213891169420451,0.8448197841644287
1547,b,24,6,3.709721843401591,0.37070000758125027,0.9534344673156738
1548,b,48,6,4.031538685162862,0.34818648466485574,0.8443586826324463
1549,a,2,6,3.8433350324630737,0.3907948390593514,0.9266579151153564
1550,b,21,6,3.7475280364354453,0.1596078200460426,0.39435529708862305
1551,a,0,6,3.9470889568328857,0.18490209609922875,0.49193668365478516
1552,a,0,6,3.3137613932291665,0.22865794495924302,0.578812837600708
1553,b,9,6,4.229485273361206,0.22941214775982685,0.5690493583679199
