nohup: ignoring input
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
../models/LocalRetro_USPTO_50K.pth exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?Traceback (most recent call last):
  File "/workspace/LocalRetro/scripts/Train.py", line 95, in <module>
    main(args)
  File "/workspace/LocalRetro/scripts/Train.py", line 60, in main
    model, loss_criterion, optimizer, scheduler, stopper = load_model(args)   
  File "/workspace/LocalRetro/scripts/utils.py", line 102, in load_model
    user_answer = input('%s exists, want to (a) overlap (b) continue from checkpoint (c) make a new model?' % args['model_path'])
OSError: [Errno 9] Bad file descriptor
Using device cuda:0
Directory ../models already exists.
Parameters of loaded LocalRetro:
{'attention_heads': 8, 'attention_layers': 1, 'batch_size': 16, 'edge_hidden_feats': 64, 'node_out_feats': 320, 'num_step_message_passing': 6, 'activation': 'gelu', 'AtomTemplate_n': 124, 'BondTemplate_n': 547, 'in_node_feats': 80, 'in_edge_feats': 13}
Loading previously saved dgl graphs...

epoch 3/50, batch 1921/2501, loss 0.0555
epoch 3/50, batch 1941/2501, loss 0.0334
epoch 3/50, batch 1961/2501, loss 0.0560
epoch 3/50, batch 1981/2501, loss 0.0582
epoch 3/50, batch 2001/2501, loss 0.0498
epoch 3/50, batch 2021/2501, loss 0.0581
epoch 3/50, batch 2041/2501, loss 0.0359
epoch 3/50, batch 2061/2501, loss 0.0477
epoch 3/50, batch 2081/2501, loss 0.0454
epoch 3/50, batch 2101/2501, loss 0.0461
epoch 3/50, batch 2121/2501, loss 0.0462
epoch 3/50, batch 2141/2501, loss 0.0339
epoch 3/50, batch 2161/2501, loss 0.0339
epoch 3/50, batch 2181/2501, loss 0.0324
epoch 3/50, batch 2201/2501, loss 0.0456
epoch 3/50, batch 2221/2501, loss 0.0414
epoch 3/50, batch 2241/2501, loss 0.0390
epoch 3/50, batch 2261/2501, loss 0.0380
epoch 3/50, batch 2281/2501, loss 0.0417
epoch 3/50, batch 2301/2501, loss 0.0503
epoch 3/50, batch 2321/2501, loss 0.0391
epoch 3/50, batch 2341/2501, loss 0.0368
epoch 3/50, batch 2361/2501, loss 0.0358
epoch 3/50, batch 2381/2501, loss 0.0631
epoch 3/50, batch 2401/2501, loss 0.0549
epoch 3/50, batch 2421/2501, loss 0.0345
epoch 3/50, batch 2441/2501, loss 0.0374
epoch 3/50, batch 2461/2501, loss 0.0488
epoch 3/50, batch 2481/2501, loss 0.0396
epoch 3/50, batch 2501/2501, loss 0.0572
epoch 3/50, training loss: 0.0464
epoch 3/50, validation loss: 0.0434
epoch 3/50, Best loss: 0.0434

epoch 4/50, batch 1/2501, loss 0.0484
epoch 4/50, batch 21/2501, loss 0.0416
epoch 4/50, batch 41/2501, loss 0.0342
epoch 4/50, batch 61/2501, loss 0.0451
epoch 4/50, batch 81/2501, loss 0.0313
epoch 4/50, batch 101/2501, loss 0.0393
epoch 4/50, batch 121/2501, loss 0.0355
epoch 4/50, batch 141/2501, loss 0.0467
epoch 4/50, batch 161/2501, loss 0.0469
epoch 4/50, batch 181/2501, loss 0.1319
epoch 4/50, batch 201/2501, loss 0.0381
epoch 4/50, batch 221/2501, loss 0.0576
epoch 4/50, batch 241/2501, loss 0.0436
epoch 4/50, batch 261/2501, loss 0.0336
epoch 4/50, batch 281/2501, loss 0.0331
epoch 4/50, batch 301/2501, loss 0.0405
epoch 4/50, batch 321/2501, loss 0.0390
epoch 4/50, batch 341/2501, loss 0.0332
epoch 4/50, batch 361/2501, loss 0.0362
epoch 4/50, batch 381/2501, loss 0.0300
epoch 4/50, batch 401/2501, loss 0.0368
epoch 4/50, batch 421/2501, loss 0.0320
epoch 4/50, batch 441/2501, loss 0.0262
epoch 4/50, batch 461/2501, loss 0.0328
epoch 4/50, batch 481/2501, loss 0.0439
epoch 4/50, batch 501/2501, loss 0.0356
epoch 4/50, batch 521/2501, loss 0.0365
epoch 4/50, batch 541/2501, loss 0.0372
epoch 4/50, batch 561/2501, loss 0.0437
epoch 4/50, batch 581/2501, loss 0.0552
epoch 4/50, batch 601/2501, loss 0.0428
epoch 4/50, batch 621/2501, loss 0.0474
epoch 4/50, batch 641/2501, loss 0.0609
epoch 4/50, batch 661/2501, loss 0.0522
epoch 4/50, batch 681/2501, loss 0.0488
epoch 4/50, batch 701/2501, loss 0.0343
epoch 4/50, batch 721/2501, loss 0.0480
epoch 4/50, batch 741/2501, loss 0.0508
epoch 4/50, batch 761/2501, loss 0.0407
epoch 4/50, batch 781/2501, loss 0.0430
epoch 4/50, batch 801/2501, loss 0.0323
epoch 4/50, batch 821/2501, loss 0.0321
epoch 4/50, batch 841/2501, loss 0.0494
epoch 4/50, batch 861/2501, loss 0.0390
epoch 4/50, batch 881/2501, loss 0.0505
epoch 4/50, batch 901/2501, loss 0.0363
epoch 4/50, batch 921/2501, loss 0.0481
epoch 4/50, batch 941/2501, loss 0.0370
epoch 4/50, batch 961/2501, loss 0.0391
epoch 4/50, batch 981/2501, loss 0.0440
epoch 4/50, batch 1001/2501, loss 0.0254
epoch 4/50, batch 1021/2501, loss 0.0360
epoch 4/50, batch 1041/2501, loss 0.0444
epoch 4/50, batch 1061/2501, loss 0.0395
epoch 4/50, batch 1081/2501, loss 0.0408
epoch 4/50, batch 1101/2501, loss 0.0521
epoch 4/50, batch 1121/2501, loss 0.0536
epoch 4/50, batch 1141/2501, loss 0.0351
epoch 4/50, batch 1161/2501, loss 0.0409
epoch 4/50, batch 1181/2501, loss 0.0304
epoch 4/50, batch 1201/2501, loss 0.0511
epoch 4/50, batch 1221/2501, loss 0.0285
epoch 4/50, batch 1241/2501, loss 0.0450
epoch 4/50, batch 1261/2501, loss 0.0370
epoch 4/50, batch 1281/2501, loss 0.0312
epoch 4/50, batch 1301/2501, loss 0.0447
epoch 4/50, batch 1321/2501, loss 0.0554
epoch 4/50, batch 1341/2501, loss 0.0350
epoch 4/50, batch 1361/2501, loss 0.0506
epoch 4/50, batch 1381/2501, loss 0.0281
epoch 4/50, batch 1401/2501, loss 0.0379
epoch 4/50, batch 1421/2501, loss 0.0289
epoch 4/50, batch 1441/2501, loss 0.0315
epoch 4/50, batch 1461/2501, loss 0.0351
epoch 4/50, batch 1481/2501, loss 0.0343
epoch 4/50, batch 1501/2501, loss 0.0341
epoch 4/50, batch 1521/2501, loss 0.0432
epoch 4/50, batch 1541/2501, loss 0.0334
epoch 4/50, batch 1561/2501, loss 0.0514
epoch 4/50, batch 1581/2501, loss 0.0425
